Procs,Terms,ChunkSize,Variable,Total,MaxTime
1,1000,1,0.990000,99.995683,0.008827
1,1000,2,0.990000,99.995683,0.009464
1,1000,4,0.990000,99.995683,0.009437
1,1000,8,0.990000,99.995683,0.008667
1,1000,10,0.990000,99.995683,0.009401
1,1000,16,0.990000,99.995683,0.009460
1,1000,20,0.990000,99.995683,0.009448
1,1000,32,0.990000,99.995683,0.007457
2,1000,1,0.990000,99.995683,0.010264
2,1000,2,0.990000,99.995683,0.009041
2,1000,4,0.990000,99.995683,0.009247
2,1000,8,0.990000,99.995683,0.009118
2,1000,10,0.990000,99.995683,0.008438
2,1000,16,0.990000,99.995683,0.007565
2,1000,20,0.990000,99.995683,0.007855
2,1000,32,0.990000,99.995683,0.006629
4,1000,1,0.990000,99.995683,0.004601
4,1000,2,0.990000,99.995683,0.004102
4,1000,4,0.990000,99.995683,0.003734
4,1000,8,0.990000,99.995683,0.003671
4,1000,10,0.990000,99.995683,0.003619
4,1000,16,0.990000,99.995683,0.003708
4,1000,20,0.990000,99.995683,0.003689
4,1000,32,0.990000,99.995683,0.003608
8,1000,1,0.990000,99.995683,0.002206
8,1000,2,0.990000,99.995683,0.002008
8,1000,4,0.990000,99.995683,0.001893
8,1000,8,0.990000,99.995683,0.001864
8,1000,10,0.990000,99.995683,0.001897
8,1000,16,0.990000,99.995683,0.001842
8,1000,20,0.990000,99.995683,0.001669
8,1000,32,0.990000,99.995683,0.001887
16,1000,1,0.990000,99.995683,0.002014
16,1000,2,0.990000,99.995683,0.001747
16,1000,4,0.990000,99.995683,0.001438
16,1000,8,0.990000,99.995683,0.001154
16,1000,10,0.990000,99.995683,0.001151
16,1000,16,0.990000,99.995683,0.001198
16,1000,20,0.990000,99.995683,0.001199
16,1000,32,0.990000,99.995683,0.001348
1,10000,1,0.990000,100.000000,0.553450
1,10000,2,0.990000,100.000000,0.558210
1,10000,4,0.990000,100.000000,0.558181
1,10000,8,0.990000,100.000000,0.549345
1,10000,10,0.990000,100.000000,0.549914
1,10000,16,0.990000,100.000000,0.553313
1,10000,20,0.990000,100.000000,0.558697
1,10000,32,0.990000,100.000000,0.546047
2,10000,1,0.990000,100.000000,0.568116
2,10000,2,0.990000,100.000000,0.558818
2,10000,4,0.990000,100.000000,0.552481
2,10000,8,0.990000,100.000000,0.559289
2,10000,10,0.990000,100.000000,0.553537
2,10000,16,0.990000,100.000000,0.549941
2,10000,20,0.990000,100.000000,0.542545
2,10000,32,0.990000,100.000000,0.552612
4,10000,1,0.990000,100.000000,0.204992
4,10000,2,0.990000,100.000000,0.208903
4,10000,4,0.990000,100.000000,0.207671
4,10000,8,0.990000,100.000000,0.202108
4,10000,10,0.990000,100.000000,0.205834
4,10000,16,0.990000,100.000000,0.201374
4,10000,20,0.990000,100.000000,0.204335
4,10000,32,0.990000,100.000000,0.207343
8,10000,1,0.990000,100.000000,0.101237
8,10000,2,0.990000,100.000000,0.102266
8,10000,4,0.990000,100.000000,0.102509
8,10000,8,0.990000,100.000000,0.103380
8,10000,10,0.990000,100.000000,0.104266
8,10000,16,0.990000,100.000000,0.102578
8,10000,20,0.990000,100.000000,0.097706
8,10000,32,0.990000,100.000000,0.103629
16,10000,1,0.990000,100.000000,0.055922
16,10000,2,0.990000,100.000000,0.051783
16,10000,4,0.990000,100.000000,0.051903
16,10000,8,0.990000,100.000000,0.052295
16,10000,10,0.990000,100.000000,0.050708
16,10000,16,0.990000,100.000000,0.051966
16,10000,20,0.990000,100.000000,0.051127
16,10000,32,0.990000,100.000000,0.053674
1,50000,1,0.990000,100.000000,9.841721
1,50000,2,0.990000,100.000000,9.676648
1,50000,4,0.990000,100.000000,9.680252
1,50000,8,0.990000,100.000000,9.677011
1,50000,10,0.990000,100.000000,9.674847
1,50000,16,0.990000,100.000000,9.717054
1,50000,20,0.990000,100.000000,9.658671
1,50000,32,0.990000,100.000000,9.635175
2,50000,1,0.990000,100.000000,9.980083
2,50000,2,0.990000,100.000000,9.810223
2,50000,4,0.990000,100.000000,9.789106
2,50000,8,0.990000,100.000000,9.795319
2,50000,10,0.990000,100.000000,9.871474
2,50000,16,0.990000,100.000000,9.751232
2,50000,20,0.990000,100.000000,9.747678
2,50000,32,0.990000,100.000000,9.767109
4,50000,1,0.990000,100.000000,3.533930
4,50000,2,0.990000,100.000000,3.414944
4,50000,4,0.990000,100.000000,3.420318
4,50000,8,0.990000,100.000000,3.385232
4,50000,10,0.990000,100.000000,3.344192
4,50000,16,0.990000,100.000000,3.339402
4,50000,20,0.990000,100.000000,3.349906
4,50000,32,0.990000,100.000000,3.354061
8,50000,1,0.990000,100.000000,1.607104
8,50000,2,0.990000,100.000000,1.582050
8,50000,4,0.990000,100.000000,1.575248
8,50000,8,0.990000,100.000000,1.577337
8,50000,10,0.990000,100.000000,1.584621
8,50000,16,0.990000,100.000000,1.575109
8,50000,20,0.990000,100.000000,1.562879
8,50000,32,0.990000,100.000000,1.566932
16,50000,1,0.990000,100.000000,0.830648
16,50000,2,0.990000,100.000000,0.815562
16,50000,4,0.990000,100.000000,0.806558
16,50000,8,0.990000,100.000000,0.799177
16,50000,10,0.990000,100.000000,0.813732
16,50000,16,0.990000,100.000000,0.790978
16,50000,20,0.990000,100.000000,0.822205
16,50000,32,0.990000,100.000000,0.795231
