Procs,Terms,ChunkSize,Variable,Total,MaxTime
1,1000,1,0.990000,99.995683,0.008809
1,1000,2,0.990000,99.995683,0.009448
1,1000,3,0.990000,99.995683,0.009467
1,1000,4,0.990000,99.995683,0.009454
1,1000,5,0.990000,99.995683,0.009413
1,1000,6,0.990000,99.995683,0.009459
1,1000,7,0.990000,99.995683,0.008339
1,1000,8,0.990000,99.995683,0.009428
1,1000,9,0.990000,99.995683,0.008289
1,1000,10,0.990000,99.995683,0.009509
1,1000,11,0.990000,99.995683,0.007413
1,1000,12,0.990000,99.995683,0.007744
1,1000,13,0.990000,99.995683,0.009447
1,1000,14,0.990000,99.995683,0.009435
1,1000,15,0.990000,99.995683,0.008282
1,1000,16,0.990000,99.995683,0.009415
1,1000,17,0.990000,99.995683,0.007926
1,1000,18,0.990000,99.995683,0.009421
1,1000,19,0.990000,99.995683,0.009473
1,1000,20,0.990000,99.995683,0.008822
1,1000,21,0.990000,99.995683,0.009396
1,1000,22,0.990000,99.995683,0.009460
1,1000,23,0.990000,99.995683,0.009461
1,1000,24,0.990000,99.995683,0.009463
1,1000,25,0.990000,99.995683,0.008708
1,1000,50,0.990000,99.995683,0.009476
1,1000,100,0.990000,99.995683,0.008772
2,1000,1,0.990000,99.995683,0.010321
2,1000,2,0.990000,99.995683,0.010280
2,1000,3,0.990000,99.995683,0.009440
2,1000,4,0.990000,99.995683,0.008703
2,1000,5,0.990000,99.995683,0.009168
2,1000,6,0.990000,99.995683,0.008539
2,1000,7,0.990000,99.995683,0.008572
2,1000,8,0.990000,99.995683,0.008481
2,1000,9,0.990000,99.995683,0.009022
2,1000,10,0.990000,99.995683,0.008438
2,1000,11,0.990000,99.995683,0.009034
2,1000,12,0.990000,99.995683,0.008413
2,1000,13,0.990000,99.995683,0.009028
2,1000,14,0.990000,99.995683,0.008445
2,1000,15,0.990000,99.995683,0.009004
2,1000,16,0.990000,99.995683,0.009634
2,1000,17,0.990000,99.995683,0.008948
2,1000,18,0.990000,99.995683,0.009041
2,1000,19,0.990000,99.995683,0.008966
2,1000,20,0.990000,99.995683,0.008374
2,1000,21,0.990000,99.995683,0.008937
2,1000,22,0.990000,99.995683,0.009658
2,1000,23,0.990000,99.995683,0.008922
2,1000,24,0.990000,99.995683,0.009692
2,1000,25,0.990000,99.995683,0.009737
2,1000,50,0.990000,99.995683,0.009068
2,1000,100,0.990000,99.995683,0.009515
3,1000,1,0.990000,99.995683,0.006417
3,1000,2,0.990000,99.995683,0.005877
3,1000,3,0.990000,99.995683,0.005292
3,1000,4,0.990000,99.995683,0.005734
3,1000,5,0.990000,99.995683,0.004954
3,1000,6,0.990000,99.995683,0.005516
3,1000,7,0.990000,99.995683,0.005096
3,1000,8,0.990000,99.995683,0.005244
3,1000,9,0.990000,99.995683,0.005265
3,1000,10,0.990000,99.995683,0.005408
3,1000,11,0.990000,99.995683,0.005187
3,1000,12,0.990000,99.995683,0.005051
3,1000,13,0.990000,99.995683,0.005028
3,1000,14,0.990000,99.995683,0.005442
3,1000,15,0.990000,99.995683,0.005511
3,1000,16,0.990000,99.995683,0.005188
3,1000,17,0.990000,99.995683,0.005435
3,1000,18,0.990000,99.995683,0.005414
3,1000,19,0.990000,99.995683,0.005605
3,1000,20,0.990000,99.995683,0.005262
3,1000,21,0.990000,99.995683,0.005309
3,1000,22,0.990000,99.995683,0.005252
3,1000,23,0.990000,99.995683,0.005336
3,1000,24,0.990000,99.995683,0.005379
3,1000,25,0.990000,99.995683,0.005216
3,1000,50,0.990000,99.995683,0.005148
3,1000,100,0.990000,99.995683,0.005343
5,1000,1,0.990000,99.995683,0.003414
5,1000,2,0.990000,99.995683,0.002957
5,1000,3,0.990000,99.995683,0.002960
5,1000,4,0.990000,99.995683,0.002956
5,1000,5,0.990000,99.995683,0.002798
5,1000,6,0.990000,99.995683,0.002708
5,1000,7,0.990000,99.995683,0.002784
5,1000,8,0.990000,99.995683,0.002944
5,1000,9,0.990000,99.995683,0.002745
5,1000,10,0.990000,99.995683,0.002834
5,1000,11,0.990000,99.995683,0.002717
5,1000,12,0.990000,99.995683,0.002858
5,1000,13,0.990000,99.995683,0.002766
5,1000,14,0.990000,99.995683,0.002802
5,1000,15,0.990000,99.995683,0.002859
5,1000,16,0.990000,99.995683,0.002812
5,1000,17,0.990000,99.995683,0.002690
5,1000,18,0.990000,99.995683,0.002742
5,1000,19,0.990000,99.995683,0.002767
5,1000,20,0.990000,99.995683,0.002853
5,1000,21,0.990000,99.995683,0.002827
5,1000,22,0.990000,99.995683,0.002760
5,1000,23,0.990000,99.995683,0.002786
5,1000,24,0.990000,99.995683,0.002769
5,1000,25,0.990000,99.995683,0.002740
5,1000,50,0.990000,99.995683,0.003246
5,1000,100,0.990000,99.995683,0.003317
9,1000,1,0.990000,99.995683,0.002275
9,1000,2,0.990000,99.995683,0.001881
9,1000,3,0.990000,99.995683,0.001809
9,1000,4,0.990000,99.995683,0.001777
9,1000,5,0.990000,99.995683,0.001744
9,1000,6,0.990000,99.995683,0.001607
9,1000,7,0.990000,99.995683,0.001708
9,1000,8,0.990000,99.995683,0.001787
9,1000,9,0.990000,99.995683,0.001562
9,1000,10,0.990000,99.995683,0.001656
9,1000,11,0.990000,99.995683,0.001600
9,1000,12,0.990000,99.995683,0.001536
9,1000,13,0.990000,99.995683,0.001609
9,1000,14,0.990000,99.995683,0.001578
9,1000,15,0.990000,99.995683,0.001549
9,1000,16,0.990000,99.995683,0.001532
9,1000,17,0.990000,99.995683,0.001553
9,1000,18,0.990000,99.995683,0.001521
9,1000,19,0.990000,99.995683,0.001703
9,1000,20,0.990000,99.995683,0.001771
9,1000,21,0.990000,99.995683,0.001588
9,1000,22,0.990000,99.995683,0.001585
9,1000,23,0.990000,99.995683,0.001545
9,1000,24,0.990000,99.995683,0.001577
9,1000,25,0.990000,99.995683,0.001556
9,1000,50,0.990000,99.995683,0.001759
9,1000,100,0.990000,99.995683,0.002127
13,1000,1,0.990000,99.995683,0.001820
13,1000,2,0.990000,99.995683,0.001622
13,1000,3,0.990000,99.995683,0.001444
13,1000,4,0.990000,99.995683,0.001446
13,1000,5,0.990000,99.995683,0.001369
