Procs,Terms,ChunkSize,Variable,Total,Rank,Time
2,50000,1,0.990000,100.000000,0,10.047935
2,50000,1,0.990000,100.000000,1,10.047950
2,50000,2,0.990000,100.000000,0,9.887016
2,50000,2,0.990000,100.000000,1,9.887008
2,50000,4,0.990000,100.000000,0,9.870584
2,50000,4,0.990000,100.000000,1,9.870615
2,50000,8,0.990000,100.000000,0,9.838226
2,50000,8,0.990000,100.000000,1,9.838356
2,50000,16,0.990000,100.000000,0,9.828123
2,50000,16,0.990000,100.000000,1,9.828175
2,50000,32,0.990000,100.000000,0,9.810058
2,50000,32,0.990000,100.000000,1,9.816309
4,50000,1,0.990000,100.000000,0,3.511723
4,50000,1,0.990000,100.000000,1,3.511558
4,50000,1,0.990000,100.000000,2,3.511334
4,50000,1,0.990000,100.000000,3,3.511699
4,50000,2,0.990000,100.000000,0,3.356488
4,50000,2,0.990000,100.000000,1,3.355920
4,50000,2,0.990000,100.000000,2,3.356462
4,50000,2,0.990000,100.000000,3,3.356251
4,50000,4,0.990000,100.000000,0,3.389826
4,50000,4,0.990000,100.000000,1,3.389614
4,50000,4,0.990000,100.000000,2,3.389816
4,50000,4,0.990000,100.000000,3,3.389373
4,50000,8,0.990000,100.000000,0,3.383915
4,50000,8,0.990000,100.000000,1,3.382105
4,50000,8,0.990000,100.000000,2,3.384048
4,50000,8,0.990000,100.000000,3,3.383632
4,50000,16,0.990000,100.000000,0,3.351661
4,50000,16,0.990000,100.000000,1,3.351648
4,50000,16,0.990000,100.000000,2,3.349517
4,50000,16,0.990000,100.000000,3,3.349499
4,50000,32,0.990000,100.000000,0,3.354106
4,50000,32,0.990000,100.000000,1,3.355609
4,50000,32,0.990000,100.000000,2,3.354062
4,50000,32,0.990000,100.000000,3,3.346522
8,50000,1,0.990000,100.000000,0,1.612365
8,50000,1,0.990000,100.000000,1,1.612041
8,50000,1,0.990000,100.000000,2,1.612567
8,50000,1,0.990000,100.000000,3,1.612025
8,50000,1,0.990000,100.000000,4,1.612046
8,50000,1,0.990000,100.000000,5,1.612011
8,50000,1,0.990000,100.000000,6,1.612453
8,50000,1,0.990000,100.000000,7,1.612033
8,50000,2,0.990000,100.000000,0,1.563553
8,50000,2,0.990000,100.000000,1,1.563406
8,50000,2,0.990000,100.000000,2,1.562786
8,50000,2,0.990000,100.000000,3,1.563057
8,50000,2,0.990000,100.000000,4,1.563238
8,50000,2,0.990000,100.000000,5,1.563333
8,50000,2,0.990000,100.000000,6,1.562621
8,50000,2,0.990000,100.000000,7,1.562708
8,50000,4,0.990000,100.000000,0,1.559936
8,50000,4,0.990000,100.000000,1,1.558422
8,50000,4,0.990000,100.000000,2,1.558190
8,50000,4,0.990000,100.000000,3,1.559394
8,50000,4,0.990000,100.000000,4,1.559377
8,50000,4,0.990000,100.000000,5,1.558572
8,50000,4,0.990000,100.000000,6,1.558955
8,50000,4,0.990000,100.000000,7,1.559809
8,50000,8,0.990000,100.000000,0,1.534950
8,50000,8,0.990000,100.000000,1,1.534454
8,50000,8,0.990000,100.000000,2,1.531498
8,50000,8,0.990000,100.000000,3,1.532302
8,50000,8,0.990000,100.000000,4,1.532450
8,50000,8,0.990000,100.000000,5,1.534870
8,50000,8,0.990000,100.000000,6,1.531949
8,50000,8,0.990000,100.000000,7,1.534502
8,50000,16,0.990000,100.000000,0,1.551910
8,50000,16,0.990000,100.000000,1,1.548328
8,50000,16,0.990000,100.000000,2,1.551842
8,50000,16,0.990000,100.000000,3,1.545974
8,50000,16,0.990000,100.000000,4,1.547542
8,50000,16,0.990000,100.000000,5,1.551782
